site code,latitude,longitude,biblio code,amal per,presv,samp count,divrs,barley awn,barley lemma bases,barley rachis,culm nodes,f-t wheat rachis,gw glume bases,wheat indet rachis,cereal indet grain,barley grain,f-t wheat grain,gw grain,millet,oat grain,wheat indet gr,wild einkorn,caper,cucumber,date,fig,grape,hazelnut,olive,pear,pistachio,pomegranate,flax/linseed,sesame,bitter vetch,celtic bean,chickpea,common pea,grass pea,lentil,coriander,cumin,wild/weed
harm,33.22,44.28,"Jacobsen, 1982",Akkadian,cpr,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hass,36.1,43.06,"Jacobsen, 1982",Neolithic,cpr,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingh,32.33,44.39,"Jacobsen, 1982",Uruk,imp,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingh,32.33,44.39,"Field, 1932",Uruk,cpr,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingh,32.33,44.39,"Jacobsen, 1982",O Babylon,imp,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isch,33.43,44.39,"Jacobsen, 1982",Akkadian,imp,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jarm,35.34,44.55,"Watson, 1983",Geometric,cpr,2,5,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
jemd,32.35,44.44,"Jacobsen, 1982",Uruk,imp,3,4,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jemd,32.35,44.44,"Field, 1932",Uruk,cpr,,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karr,36.43,42.55,"Constantini, 1993",Uruk,cpr,14,9,0,0,0,0,0,8,0,0,10,4,7,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8
khaf,33.38,44.4,"Schieman, 1940",Uruk,cpr,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
khaf,33.38,44.4,"Jacobsen, 1982",Uruk,imp,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khaf,33.38,44.4,"Jacobsen, 1982",O Babylon,imp,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
khaf,33.38,44.4,"Jacobsen, 1982",Akkadian,imp,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
madh,34.3,45.09,"Renfrew, 1984",Ubaid,cpr?,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magh,36.24,41.12,Lisicyna,Geometric,cpr,2,7,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2
mahm,33.2,44.2,"van Zeist, 1991",Neo Assyrian,cpr,4,8,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
mata,35.23,44.22,Helbaek 1959,Neolithic,cpr,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mata,35.23,44.22,Helbaek 1959,Neolithic,imp,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mlef,36.18,43.33,"Nesbitt, 1998",Geometric,cpr,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
nemr,36.46,42.47,"Kozlowski, 1989",Geometric,cpr,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
nimr,36.06,43.19,"Helbaek, 1966 nimrud",Kassite,cpr,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nimr,36.06,43.19,"Helbaek, 1966 nimrud",Neo Assyrian,cpr,15,16,0,0,0,0,0,0,0,0,12,8,1,2,0,0,0,1,1,2,1,1,1,1,0,0,1,2,0,0,0,2,0,0,6,0,0,10
